,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2002-08-06,0.795714259147644,0.8035714030265808,0.7428571581840515,0.7607142925262451,0.7607142925262451,3217200,NFLX,3.381723,0.8735714554786682,2.6210086345672607,0.0
2002-08-08,0.7964285612106323,0.8035714030265808,0.7507143020629883,0.7964285612106323,0.7964285612106323,2283400,NFLX,3.5067267,0.9035714268684387,2.710298180580139,0.0
2002-08-14,0.7757142782211304,0.8335714340209961,0.7714285850524902,0.8335714340209961,0.8335714340209961,4047400,NFLX,3.6702523,0.9178571701049806,2.8366808891296387,0.0
2002-08-15,0.8371428847312927,0.9107142686843872,0.8328571319580078,0.8828571438789368,0.8828571438789368,3263400,NFLX,3.6696892,0.9142857193946838,2.78683203458786,0.0
2002-08-26,0.9964285492897034,0.9964285492897034,0.9378571510314941,0.9678571224212646,0.9678571224212646,2644600,NFLX,3.660925,0.8299999833106995,0.0,-2.693067789077759
2002-08-27,0.9678571224212646,0.9678571224212646,0.8578571677207947,0.8735714554786682,0.8735714554786682,4984000,NFLX,3.5605156,0.7878571152687073,0.0,-2.6869441866874695
2002-09-12,0.9628571271896362,0.9671428799629211,0.9142857193946838,0.925000011920929,0.925000011920929,1943200,NFLX,3.5859122,0.5178571343421936,0.0,-2.6609122157096863
2002-09-13,0.9214285612106323,0.927142858505249,0.8642857074737549,0.8785714507102966,0.8785714507102966,2485000,NFLX,3.563238,0.46857142448425293,0.0,-2.6846664547920227
2002-09-23,0.7142857313156128,0.7321428656578064,0.7057142853736877,0.7114285826683044,0.7114285826683044,4839800,NFLX,3.2357938,0.5342857241630554,0.0,-2.524365246295929
2002-09-25,0.7242857217788696,0.75,0.7078571319580078,0.7321428656578064,0.7321428656578064,1457400,NFLX,3.3504548,0.459285706281662,0.0,-2.6183119416236877
2002-09-30,0.7071428298950195,0.7214285731315613,0.6892856955528259,0.6928571462631226,0.6928571462631226,4837000,NFLX,3.4650302,0.6364285945892334,0.0,-2.772173047065735
2002-10-04,0.5178571343421936,0.5314285755157471,0.4471428692340851,0.46857142448425293,0.46857142448425293,8433600,NFLX,2.8863583,0.6428571343421937,2.4177868366241455,0.0
2002-10-09,0.4099999964237213,0.4107142984867096,0.3471428453922272,0.37285715341567993,0.37285715341567993,5982200,NFLX,2.916935,0.6414285898208618,2.5440778136253357,0.0
2002-10-14,0.4642857015132904,0.5350000262260437,0.4635714292526245,0.5342857241630554,0.5342857241630554,5272400,NFLX,3.355413,0.6714285612106324,2.821127235889435,0.0
2002-10-25,0.5799999833106995,0.6850000023841858,0.5678571462631226,0.6428571343421936,0.6428571343421936,6447000,NFLX,3.7081256,0.6499999761581421,3.0652684569358826,0.0
2002-11-22,0.7571428418159485,0.800000011920929,0.7521428465843201,0.7864285707473755,0.7864285707473755,4492600,NFLX,3.1444817,0.9135714173316956,2.3580530881881714,0.0
2002-11-29,0.75,0.7950000166893005,0.7428571581840515,0.7749999761581421,0.7749999761581421,932400,NFLX,3.9642863,0.7642857432365417,0.0,-3.1892863512039185
2002-12-04,0.7428571581840515,0.75,0.6964285969734192,0.7099999785423279,0.7099999785423279,2468200,NFLX,3.755113,0.6964285969734192,0.0,-3.045112907886505
2002-12-18,0.8964285850524902,0.8985714316368103,0.7635714411735535,0.7850000262260437,0.7850000262260437,13378400,NFLX,3.5174623,0.8864285945892334,2.732462227344513,0.0
2002-12-24,0.7285714149475098,0.7321428656578064,0.6992856860160828,0.7071428298950195,0.7071428298950195,4895800,NFLX,3.249798,0.8571428656578064,2.5426552295684814,0.0
2002-12-27,0.6928571462631226,0.7085714340209961,0.6857143044471741,0.6907142996788025,0.6907142996788025,4592000,NFLX,3.4150646,0.814285695552826,2.7243502736091614,0.0
2003-01-23,0.8507142663002014,0.9057142734527588,0.8357142806053162,0.8700000047683716,0.8700000047683716,7219800,NFLX,3.557213,0.9442856907844543,2.6872130632400513,0.0
2003-01-31,0.9057142734527588,0.9464285969734192,0.8899999856948853,0.9428571462631226,0.9428571462631226,4019400,NFLX,3.8110695,1.0028570890426636,2.868212342262268,0.0
2003-02-07,0.8428571224212646,0.875,0.8349999785423279,0.8700000047683716,0.8700000047683716,5016200,NFLX,3.538063,1.1399999856948853,2.6680630445480347,0.0
2003-02-28,1.1878571510314941,1.2285714149475098,1.164285659790039,1.2221428155899048,1.2221428155899048,11879000,NFLX,3.6786923,1.3250000476837158,2.4565495252609253,0.0
2003-03-03,1.2078571319580078,1.2200000286102295,1.125,1.1399999856948853,1.1399999856948853,15797600,NFLX,3.703449,1.2857142686843874,2.5634490251541138,0.0
2003-03-05,1.1685714721679688,1.1685714721679688,1.1257143020629883,1.1535714864730835,1.1535714864730835,3498600,NFLX,3.9250221,1.4714285135269165,2.771450638771057,0.0
2003-03-06,1.1649999618530273,1.1778571605682373,1.1428571939468384,1.164285659790039,1.164285659790039,3455200,NFLX,4.0987797,1.552142858505249,2.9344940185546875,0.0
2003-03-10,1.1414285898208618,1.164285659790039,1.1221429109573364,1.1235713958740234,1.1235713958740234,3424400,NFLX,4.244504,1.4535714387893677,3.1209325790405273,0.0
2003-03-11,1.1235713958740234,1.125,1.0714285373687744,1.1071428060531616,1.1071428060531616,5531400,NFLX,4.16973,1.3542857170104978,3.0625873804092407,0.0
2003-03-24,1.3049999475479126,1.3285714387893677,1.2678571939468384,1.2857142686843872,1.2857142686843872,8996400,NFLX,3.9595158,1.4428571462631226,2.67380154132843,0.0
